"Name";"Category";"user_score";"precision";"rn";"Synonyms";"main_link";"tags";"Price";"years_since_relevant";"DataSource";"Description";"Manual_In";"Manual_Out";"Automatic_In";"Automatic_Out";"Link_Out";"Link_In";"fastgreedy_order";"edgebetw_order";"cluster_fast_greedy";"cluster_edge_betweenness";"cluster_spinglass";"frequency";"KeysFirstRow";"KeyIncidence";"KeyRepetition";"KeyInPopular";"CentDegree";"CentClosens";"CentBetweens";"CentEigenvec";"tagSum";"fastgreedy_height";"edgebetw_height";"main_site"
"20/20 LifeStyles";"app";1;;1000;"Professional Recreation Organization Inc.";"2020lifestyles.com,2020lifestyles.com";"Health & Fitness,Motivation,Health,Physical activity,paidServices,Android,iOS";0;;"doi.org/10.1186/s12937-018-0366-6";"NA 20/20 LifeStyles Calorie Counter and Wellness TrackerThe only app that not only lets you monitor your health and fitness goals but also provides personal 1:1 advice from registered dietitians fitness trainers and lifestyle coaches! With the 20/20 LifeStyles Calorie Counter & Wellness Tracker you get a personal coach in the palm of your hand! Keep track of your daily calorie intake and develop an exercise plan that fits your needs. Want more help? Receive ongoing guidance from our team of experts through our Weekly Dietitian Review and Ask An Expert subscription services. Since 1992 20/20 LifeStyles has helped thousands of people achieve dramatic weight loss and transformative results through our nationally-recognized weight management program and product line of protein shakes bars and supplements. Lose Weight - Keep track of what you eat with quick and easy food entry including name brand and restaurant foods - Set a daily calorie goal based on your weight loss plan - Create balanced meals with expert suggestions and tips Get Fit - Create a weekly exercise schedule and keep track of your progress - Automatically track calories burned based on your weight - Develop workout plans to target specific areas of your body Achieve Your Goals - Set weekly weight & fitness goals - Get real-time feedback on your progress - Keep up with your progress inside the app and online at 2020LifeStyles.com";"database input,restaurant dishes,generic input,nutrition goals,fitness plan,diet plans,body weight,weight loss,steps,posts";"advices,healthvault";"";"";"";"";;;;;;;;;;;;;;;;;;"2020lifestyles.com"
"21 Day Tummy Tracker";"app";1;;1001;"RD Digital";"redfoundry.com,redfoundry.com";"Health & Fitness,Health,Physical activity,paidServices,Android,iOS";0;;"doi.org/10.1186/s12937-018-0366-6";"NA The 21-Day Tummy helps you lose stubborn belly fat soothe chronic stomach issues and find your trigger foods. This app lets you track your symptoms keep a food log and share reports with your doctor or nutritionist. Also includes shopping lists and recipes for breakfast lunch snacks and dinner that are made with anti-inflammatory foods for better digestion. Upgrade to the premium version to get unlimited food and symptom log entries plus access to more 21-Day Tummy recipes. App can be used on its own or as a companion to the new book 21-Day Tummy: The Revolutionary Diet That Shrinks and Soothes Any Belly Fast. HOW THIS APP CAN HELP: <U+0082>G Easy to keep a food diary: It<U+0082><c4><f4>s quick and simple to log your daily meals and drinks so you can discover your trigger foods more effectively. <U+0082>G Easy to log your daily exercise and medications.<U+0082>G Easy to log and track your symptoms <U+0082><c4><ec> detailed by specific ailment (abdominal pain/cramps heartburn & acid reflux gas & bloating diarrhea constipation and nausea).<U+0082>G Easy to create email reports of your symptoms to share with a doctor or nutritionist.<U+0082>G Enjoy delicious recipes that are carefully crafted to slim and soothe sensitive bellies and avoid the <U+0082><c4><fa>Big 5<U+0082><c4><f9> digestive disasters.<U+0082>G Shopping List feature lets you add each recipe<U+0082><c4><f4>s ingredients to your list with a simple tap. Visit 21DayTummy.com to learn more about the diet and find out which foods help you immediately feel leaner calm your digestive system and shed belly fat fast. 21-Day Tummy: The Revolutionary Diet That Shrinks and Soothes Any Belly Fast by Liz Vaccariello (author of the New York Times<U+00AC><c6> Bestseller The Digest Diet).";"custom input,excercise,medications,symptoms";"email export";"";"";"";"";;;;;;;;;;;;;;;;;;"redfoundry.com"
"23andMe";"test";3;;1002;"23andMe Ancestry + Health";"23andme.com/en-ca/dna-health-ancestry/";"";;;"rNC";"";"dna sequence,ancestry,disease risk,snps";"";"";"";"";"";;;;;;;;;;;;;;;;;;"23andme.com"
"7 Day Food Journal Challenge";"app";3;;1003;"YouFood,TwoGrand Inc.";"joinyoufood.com,twogrand.com/";"Health & Fitness,Lifestyle,paidServices,Android,iOS,community";0;;"doi.org/10.1186/s12937-018-0366-6";"7 Day Photo Challenge by YouFood: Food Journal & Healthy Eating Community for Weight Loss Support,7 Day Food Journal Challenge";"food images,water";"social support";"";"";"";"";;;;;;;;;;;;;;;;;;"joinyoufood.com,twogrand.com"
"Abbott Navigator";"device";1.5;;1004;"Freestyle Libre";"abbottdiabetescare.no,myfreestyle.ca/en/products/libre";"Tracker,CGM,FGM,RF Radio,NFC,FDA approved,CE marked,In production,wear";;;"https://doi.org/10.18710/QXMY88,http://tidepool.org/products/tidepool-uploader/,rNC";"Continuous blood glucose monitor";"cgm";"tidepool,applehealth,googlefit";"";"";"";"";;;;;;;;;;;;;;;;;;"abbottdiabetescare.no,myfreestyle.ca"
"Accelerometer";"sensor";8;5;2;"accelerometry";"";"";;0;"DIM";"";"sleep,steps";"mbientlabs";"";"";"";"";;;;;;;;;;;;;;;;;;"NA"
"ActiGraph";"wear";2.5;;4;"wGT3X-BT,ActiLife";"";"";;;"DIM";"";"";"";"";"";"";"";;;;;;;;;;;;;;;;;;"NA"
"Activ8rlives Health Monitoring and Food Diary App";"app";1;;1006;"Activ8rlives";"activ8rlives.com,activ8rlives.com";"Health & Fitness,Motivation,Health,Physical activity,OSX,Windows,Android,iOS";0;;"doi.org/10.1186/s12937-018-0366-6";"Activ8rlives supports you in monitoring maintenance and self-management of health activity weight and wellbeing. You can track and monitor a wider range of health parameters (steps blood pressure blood glucose peak flow oxygen saturation and temperature) and export them to Apple<U+0082><c4><f4>s Health App on iOS 8.0 or later. Being active is key to good health <U+0082>G Track activity via an activity tracker or pedometer using Activ8rlives Buddy Step Counter or BuddyBand2 to upload via Bluetooth 4.0 to Activ8rlives App <U+0082>G Upload data via iPhone or iPad using Bluetooth 4.0 (iPhone 4s or later iPad 3 or later) <U+0082>G Don<U+0082><c4><f4>t have a tracker? No problem add your steps from any pedometer manually to App <U+0082>G See how your sense of health and wellbeing improves as you increase your daily levels of activity <U+0082>G See how your weight varies and changes with increased activity Want to lose weight? <U+0082>G Record food intake using integrated Food Diary to record photos of food and drink <U+0082>G Simply score your food and drink intake as GOOD or BAD choice <U+0082>G Automatically stores photos of food in your web-based Activ8rlives account and not on phone saving memory <U+0082>G Quickly learn about hidden food/drink intake we all forget about which makes the difference between weight loss and weight gain <U+0082>G No more counting calories - just snap a photo to reveal eating choices and patterns <U+0082>G Display food choice ratio and number of food items over time alongside activity and weight <U+0082>G Calories out greater than calories in does NOT mean weight loss. All calories are not <U+0082><c4><fa>equal<U+0082><c4><f9> <U+0082>G It is your body and everyone<U+0082><c4><f4>s works differently. Find out how yours works <U+0082>G See full buffet you have eaten for entire week and share data with healthcare team or personal coach <U+0082>G Learn how body weight and composition changes as a result of dieting with Activ8rlives Body Analyser smart scales <U+0082>G Track weight fat muscle bone visceral fat water content and BMI. See how these change over time as you modify food intake and activity <U+0082>G Don<U+0082><c4><f4>t have a set of Activ8rlives Body Analyser? No problem add your data manually Self-management of long-term health <U+0082>G Use Activ8rlives App to maintain track vital signs symptoms medication and control health if you have long-term health conditions <U+0082>G Use Activ8rlives health monitoring devices to measure connect and upload data directly via Activ8rlives App: Activ8rlives Contactless Infrared Thermometer Pulse Oximeter Peak Flow Blood Pressure and Heart Rate Monitor <U+0082>G Already have a medical device (Blood glucose monitor INR monitor cholesterol monitor spirometer ECG) you use to monitor long-term health add this data manually to App and see this data alongside each other in one App <U+0082>G Create custom trackers via online account to track symptoms medication or other recordings (joint pain migraine inhaler usage or mood) <U+0082>G It<U+0082><c4><f4>s all about you <U+0082><c4><ec> you are special and unique so you can tailor App to suit yourself <U+0082>G All data can be reviewed and compared with simple graphing tools in <U+0082><c4><fa>Health Data<U+0082><c4><f9> section. Simple to use yet very powerful and all in one place Motivating you <U+0082>G Gain and earn Medals / Points for activity to motivate <U+0082>G Reach your first Gold Medal and receive a real medal to reward you. Free to anywhere in the World Self-help groups <U+0082>G Activ8rlives has a growing community of users who help and support others in achieving their goals. Join one of our self-help health groups for encouragement or support <U+0082>G Start your own group to support your family club or work colleagues <U+0082>G Join World-Walk Adventure group and your steps will automatically be added and you can track the adventure online or via the Smartphone App with our embedded integrated mapping <U+0082>G Raise funds for charities using Groups as a means of earning sponsorship of points you have gained by walking About us <U+0082>G Activ8rlives App is developed by Aseptika Limited <U+0082><c4><ec> a healthcare company specialising in self-management through self-monitoring. Our goal is to activate as many people as we can to stay healthy and keep well NA";"food images,pulse oximeter,smart thermometer,blood pressure monitor,heart rate monitor,peak flow meter,pedometer,body composition,sleep,steps,blood pressure,oxygen saturation,body temperature,heartrate,bmi,cgm,pulmonary function,inr,cholesterol,nutrition goals";"file,challanges,social support,healthkit";"";"";"";"";;;;;;;;;;;;;;;;;;"activ8rlives.com"
"Activity";"whattomeasure";2.5;;5;"";"";"";;;"DIM";"";"";"";"";"";"";"";;;;;;;;;;;;;;;;;;"NA"
"activitywatch";"app";2.5;7;6;"";"";"";;0;"DIM";"";"computer_time";"";"";"";"";"";;;;;;;;;;;;;;;;;;"NA"
