Name;Category;Description;Price;Synonyms;Manual_Out;Manual_In;Automatic_Out;Automatic_In;Link_Out;Link_In
openhumans.org;aggregator;;1;Open Humans ,openhumans;CSV File;CSV File;;;;
Google_Fit;aggregator;;;Google Health, google fit;CSV File;;;;;
bitesnap;app;;3;Bitesnap,BiteSnap;Google_Fit,CSV File;;;;;
mySymptoms;app;;3;;CSV File;time_tracking,symptoms,Sleep,bowels,journal_notes;;;;
humanbenchmark;app;;2;;text_editor;cognitive_performance;;;;
quantified_mind;app;;1;;CSV File;cognitive_performance;;;;
CSV File;file;;;comma separated , csv;;;;;;
analysis;file;;;;;openhumans.org;;;;
text_editor;file;;;;CSV File;journal_notes;;;;
Mbientlabs;sensor;;120;MMR;CSV File,Ambient_Temp,Accelerometry,Ambient_Light,Air_Pressure,Near_Body_Temp;Ambient_Temp,Accelerometry,Ambient_Light,Air_Pressure,Near_Body_Temp;;;;
MiBand3;sensor;;30;Mi Band 3,MIBand3;Google_Fit,Heart_Rate,Steps,Sleep_Stages;PPG,Accelerometry;;;;
hexoskin;sensor;;600;;CSV File;;Steps,Sleep,Heart_Rate,HRV_RMSSD,Breathing_Rate,Breathing_Volume,ECG,Accelerometry,RIP_Chest,RIP_Abdomen;Accelerometry,ECG,RIP_Chest,RIP_Abdomen,hexoskin;;https://www.hexoskin.com/,https://www.hexoskin.com/pages/key-metrics
astroskin;sensor;;2000;;CSV File;;Steps,Sleep,Heart_Rate,HRV_RMSSD,Blood_Pressure,SpO2,Breathing_Rate,Breathing_Volume,ECG,Accelerometry,RIP_Chest,RIP_Abdomen,Skin_Temp,PPG;Accelerometry,ECG,RIP_Chest,RIP_Abdomen,Skin_Temp,PPG,astroskin;;https://www.hexoskin.com/pages/astroskin-vital-signs-monitoring-platform-for-advanced-research
food;whatomeasure;;;;bitesnap;;;;;
Steps;whatomeasure;;;;;;;;;
Sleep;whatomeasure;;;;Sleep_Stages,Sleep_Movement,Eye_Movement,HeartBeat,Breathing,Body_Temp;;;;;
Sleep_Stages;whatomeasure;;;;;;;;;
Sleep_Movement;whatomeasure;;;;;;;;;
Eye_Movement;whatomeasure;;;;;;;;;
Ambient_Light;whatomeasure;;;;Sleep;;;;;
Accelerometry;whatomeasure;;;;;Sleep_Movement,Steps;;;;
Body_Temp;whatomeasure;;;;Sleep;;;;;
Core_Body_Temp;whatomeasure;;;;Body_Temp;;;;;
Skin_Temp;whatomeasure;;;;Body_Temp;;;;;
Near_Body_Temp;whatomeasure;;;;Skin_Temp;;;;;
Ambient_Temp;whatomeasure;;;;Near_Body_Temp;;;;;
Air_Pressure;whatomeasure;;;;;;;;;
time_tracking;whatomeasure;;;;;computer_time,exercise;;;;
symptoms;whatomeasure;;;;;;;;;
bowels;whatomeasure;;;;;;;;;
Digestion;whatomeasure;;;;Bowel_Movement, Calorie_Intake, Blood_Sugar;;;;;
Bowel_Movement;whatomeasure;;;;;;;;;
Calorie_Intake;whatomeasure;;;;;;;;;
Blood_Sugar;whatomeasure;;;;;;;;;
journal_notes;whatomeasure;;;;;;;;;
cognitive_performance;whatomeasure;;;;;;;;;
ECG;whatomeasure;Electrocardiography;;EKG;;HeartBeat,Breathing;;;;
location;whatomeasure;;;;mySymptoms;;;;;
activitywatch;app;;;ActivityWatch;;computer_time;;;;
computer_time;whatomeasure;;;;;;;;;
exercise;whatomeasure;;;;Steps;;;;;
smartertime;app;;;Smarter Time;CSV File;computer_time,location,time_tracking;;;;
Breathing;whatomeasure;;;;Airflow_Mouth,Airflow_Nose,Chest_Circumfence,Abdomen_Circumfence,Thorax_Volume,Breathing_Noise;;;;;
Breathing_Rate;whatomeasure;;;;;;;;;
Breathing_Volume;whatomeasure;;;;;;;;;
Airflow_Mouth;whatomeasure;;;;;;;;;
Airflow_Nose;whatomeasure;;;;;;;;;
Chest_Circumfence;whatomeasure;;;;;;;;;
Abdomen_Circumfence;whatomeasure;;;;;;;;;
Thorax_Volume;whatomeasure;;;;;;;;;
Transthoracic_Impedance;whatomeasure;;;;;Thorax_Volume;;;;
RIP_Chest;whatomeasure;;;;;Chest_Circumfence;;;;
RIP_Abdomen;whatomeasure;;;;;Abdomen_Circumfence;;;;
BCG;whatomeasure;Ballistocardiography;;;;Breathing,HeartBeat,Sleep_Movement;;;;
Radar;whatomeasure;;;;;HeartBeat,Breathing,Sleep_Movement;;;;
PPG;whatomeasure;Photoplethysmography;;;;HeartBeat,Breathing,SpO2;;;;
EEG;whatomeasure;Electroencephalography;;;;Sleep;;;;
EMG;whatomeasure;Electromyography;;;;Sleep_Movement,Steps;;;;
EOG;whatomeasure;Electrooculography;;;;Sleep;;;;
EGG;whatomeasure;Electrogastrogram;;;;Bowel_Movement;;;;
Body_Sound;whatomeasure;Stethoscope;;;;;;;;
SpO2;whatomeasure;Blood oxygen saturation;;;;Breathing;;;;
Ambient_Noise;whatomeasure;;;;Sleep;;;;;
Breathing_Noise;whatomeasure;;;;;;;;;
HeartBeat;whatomeasure;;;;Heart_Rate;Breathing;;;;
Heart_Rate;whatomeasure;;;;;;;;;
HRV_RMSSD;whatomeasure;;;;;;;;;
