Name;Category;Description;Price;Synonyms;Manual_Out;Manual_In;Automatic_Out;Automatic_In;Link_Out;Link_In
googlefit;aggregator;;;Google Health, google fit;CSV File;;;;;
bitesnap;app;;3;Bitesnap,BiteSnap;CSV File;;;;;
mySymptoms;app;;3;;CSV File;time_tracking,symptoms,sleep,bowels,journal_notes;;;;
humanbenchmark;app;;2;;text_editor;cognitive;;;;
quantified_mind;app;;1;;CSV File;cognitive;;;;
CSV File;file;;;comma separated , csv;;;;;;
text_editor;file;;;;CSV File;journal_notes;;;;
mbientlabs;sensor;;120;MMR,Mbientlabs;CSV File;room_temp;;;;
miband3;sensor;;30;Mi Band 3,MIBand3;googlefit;;;;;
food;whatomeasure;;;;bitesnap;;;;;
heart_rate;whatomeasure;;;;miband3;;;;;
steps;whatomeasure;;;;miband3;excersis;;;;
sleep;whatomeasure;;;;miband3;;;;;
lumens;whatomeasure;;;;mbientlabs;;;;;
accelerometry;whatomeasure;;;;mbientlabs;sleep,steps;;;;
near_body_temperature;whatomeasure;;;;mbientlabs;;;;;
air_pressure;whatomeasure;;;;mbientlabs;;;;;
time_tracking;whatomeasure;;;;;computer_time,excersis;;;;
symptoms;whatomeasure;;;;;;;;;
bowels;whatomeasure;;;;;;;;;
journal_notes;whatomeasure;;;;;;;;;
cognitive;whatomeasure;;;;;;;;;
room_temp;whatomeasure;;;;;;;;;
location;whatomeasure;;;;mySymptoms;;;;;
activitywatch;app;;1;ActivityWatch;CSV File;computer_time;;;;
computer_time;whatomeasure;;;;;;;;;
excersis;whatomeasure;;;;;;;;;
smartertime;app;;3;Smarter Time;CSV File;computer_time,location,time_tracking;;;;
